type,authors,title,venue,volume,issue,pages,year,publisher,editors,doi_url,source_code,template
"JP","H. Shourabizadeh, O. E. Kundakcioglu, C. D. C. Bozkir, M. B. Tufekci, A. C. Henry","Healthcare Inventory Management in the Presence of Supply Disruptions and a Reliable Secondary Supplier","Annals of Operations Research","331","","1149-1206","2023","","","https://doi.org/10.1007/s10479-023-05620-y","","journal_article"
"JP","I. E. Sakarya, O. E. Kundakcioglu","Multi-instance learning by maximizing the area under receiver operating characteristic curve","Journal of Global Optimization","85","","351-375","2023","","","https://doi.org/10.1007/s10898-022-01219-y","https://github.com/OEKundakcioglu/MI-ROCMax","journal_article"
"JP","C. D. C. Bozkir, O. E. Kundakcioglu, A. C. Henry","Hospital service levels during drug shortages: Stocking and transshipment policies for pharmaceutical inventory","Journal of Global Optimization","83","","565-584","2022","","","https://doi.org/10.1007/s10898-021-01058-3","https://github.com/OEKundakcioglu/HospitalInventorySimulation","journal_article"
"JP","S. Korkmaz, O. E. Kundakcioglu, O. Sivrikaya","A fluid approximation for the single-leg fare allocation problem with nonhomogeneous Poisson demand","Journal of Revenue and Pricing Management","21","","81-96","2022","","","https://doi.org/10.1057/s41272-021-00284-4","","journal_article"
"JP","O. Simsek, O. E. Kundakcioglu","Cost of fairness in agent scheduling for contact centers","Journal of Industrial and Management Optimization","18","2","873-896","2022","","","https://doi.org/10.3934/jimo.2021001","","journal_article"
"JP","S. Azizi, C. D. C. Bozkir, A. C. Trapp, O. E. Kundakcioglu, A. K. Kurbanzade","Aid allocation for camp-based and urban refugees with uncertain demand and replenishments","Production and Operations Management","30","12","4455-4474","2021","","","https://doi.org/10.1111/poms.13531","https://github.com/OEKundakcioglu/RefugeeAidAllocation","journal_article"
"JP","S. Gozuyilmaz, O. E. Kundakcioglu","Mathematical optimization for time series decomposition","OR Spectrum","43","","733-758","2021","","","https://doi.org/10.1007/s00291-021-00637-w","","journal_article"
"JP","M. Önal, O. E. Kundakcioglu, S. Jain","An EOQ model with deteriorating items and self-selection constraints","Optimization Letters","14","","1491-1518","2020","","","https://doi.org/10.1007/s11590-020-01566-3","","journal_article"
"JP","T. Yavuz, O. E. Kundakcioglu, T. Ünlüyurt","Exact and heuristic approaches to detect failures in failed k-out-of-n systems","Computers and Operations Research","112","","104752","2019","","","https://doi.org/10.1016/j.cor.2019.07.010","","journal_article"
"JP","N. R. Barshes, S. Saedi, J. Wrobel, P. Kougias, O. E. Kundakcioglu, D. G. Armstrong","A model to estimate cost-savings in diabetic foot ulcer prevention efforts","Journal of Diabetes and Its Complications","31","4","700-707","2017","","","https://doi.org/10.1016/j.jdiacomp.2016.12.017","","journal_article"
"JP","B. Balcik, C. D. C. Bozkir, O. E. Kundakcioglu","A literature review on inventory management in humanitarian supply chains","Surveys in Operations Research and Management Science","21","2","101-116","2016","","","https://doi.org/10.1016/j.sorms.2016.10.002","","journal_article"
"JP","M. Önal, A. Yenipazarli, O. E. Kundakcioglu","A mathematical model for perishable products with price- and stock-dependent demand","Computers and Industrial Engineering","102","","246-258","2016","","","https://doi.org/10.1016/j.cie.2016.11.002","","journal_article"
"JP","S. Saedi, O. E. Kundakcioglu, A. C. Henry","Mitigating the impact of drug shortages for a healthcare facility: An inventory management approach","European Journal of Operational Research","251","1","107-123","2016","","","https://doi.org/10.1016/j.ejor.2015.11.017","","journal_article"
"JP","M. H. Poursaeidi, O. E. Kundakcioglu","Robust support vector machines for multiple instance classification","Annals of Operations Research","216","1","205-227","2014","","","https://doi.org/10.1007/s10479-012-1241-z","","journal_article"
"JP","W. van den Heuvel, O. E. Kundakcioglu, J. Geunes, H. E. Romeijn, T. Sharkey, A. P. M. Wagelmans","Integrated market selection and production planning: Complexity and solution approaches","Mathematical Programming","134","2","395-424","2012","","","https://doi.org/10.1007/s10107-011-0441-7","","journal_article"
"JP","G. Pyrgiotakis, O. E. Kundakcioglu, P. M. Pardalos, B. M. Moudgil","Raman spectroscopy and support vector machines for quick toxicological evaluation of Titania nanoparticles","Journal of Raman Spectroscopy","42","6","1222-1231","2011","","","https://doi.org/10.1002/jrs.2839","","journal_article"
"JP","O. E. Kundakcioglu, O. Seref, P. M. Pardalos","Multiple instance learning via margin maximization","Applied Numerical Mathematics","60","4","358-369","2010","","","https://doi.org/10.1016/j.apnum.2009.05.013","","journal_article"
"JP","P. M. Pardalos, O. E. Kundakcioglu","Classification via mathematical programming","Applied and Computational Mathematics","8","1","23-35","2009","","","pdf/Pardalos2009.pdf","","journal_article"
"JP","G. Pyrgiotakis, O. E. Kundakcioglu, K. Finton, P. M. Pardalos, K. Powers, B. M. Moudgil","Cell death discrimination with Raman spectroscopy and support vector machines","Annals of Biomedical Engineering","37","7","1464-1473","2009","","","https://doi.org/10.1007/s10439-009-9688-z","","journal_article"
"JP","O. Seref, O. E. Kundakcioglu, O. Prokopyev, P. M. Pardalos","Selective support vector machines","Journal of Combinatorial Optimization","17","1","3-20","2009","","","https://doi.org/10.1007/s10878-008-9189-2","","journal_article"
"JP","O. E. Kundakcioglu, T. Ünlüyurt","Bottom-up construction of minimum-cost AND/OR trees for sequential fault diagnosis","IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans","37","5","621-629","2007","","","https://doi.org/10.1109/TSMCA.2007.893459","","journal_article"
"CP","U. Findik, O. E. Kundakcioglu, S. Alizamir","Generalized assignment problem","Handbook of Combinatorial Optimization, 3rd Ed.","","","","2024","Springer","P. M. Pardalos, O. A. Prokopyev","","","book_chapter"
"CP","C. Y. Yildiz, O. E. Kundakcioglu","Disaster relief inventory simulation: Managing resources in humanitarian camps","Proceedings of the 2024 INFORMS Winter Simulation Conference","","","","2024","","","","","conference"
"CP","S. Azizi, D. N. Yoltay, O. E. Kundakcioglu","Inventory management for medical supplies","Handbook of Combinatorial Optimization, 3rd Ed.","","","","2024","Springer","P. M. Pardalos, O. A. Prokopyev","","","book_chapter"
"CP","C. Y. Yildiz, O. E. Kundakcioglu","Optimization for time series decomposition","Handbook of Combinatorial Optimization, 3rd Ed.","","","","2024","Springer","P. M. Pardalos, O. A. Prokopyev","","","book_chapter"
"CP","S. Saedi, O. E. Kundakcioglu","Combinatorial optimization in data mining","Handbook of Combinatorial Optimization, 2nd Ed.","","","595-630","2013","Springer","P. M. Pardalos, D.-Z. Du, R. Graham","","","book_chapter"
"CP","M. H. Poursaeidi, M. Samorani, O. E. Kundakcioglu","Offshore wind farm layout optimization: What is the hype?","Proceedings of the Industrial and Systems Engineering Research Conference, ID: 952","","","","2013","","","","","conference"
"CP","A. Viacaba, M. H. Poursaeidi, O. E. Kundakcioglu","Natural gas price forecasting via selective support vector regression","Proceedings of the Industrial and Systems Engineering Research Conference, ID: 645","","","","2012","","","","","conference"
"CP","O. E. Kundakcioglu, P. M. Pardalos","The complexity of feature selection for consistent biclustering","Clustering Challenges in Biological Networks","","","257-266","2009","World Scientific","W. A. Chaovalitwongse, S. Butenko, P. M. Pardalos","","","book_chapter"
"CP","O. E. Kundakcioglu, P. M. Pardalos","Optimization in biomedical research","Lectures on Global Optimization, Fields Institute Communications Series, vol. 55","55","","155-182","2009","American Mathematical Society","P. M. Pardalos, T. F. Coleman","","","book_chapter_fields"
"CP","O. E. Kundakcioglu, S. Alizamir","Generalized assignment problem","Encyclopedia of Optimization, second edition","","","1153-1162","2009","Springer","C. A. Floudas, P. M. Pardalos","","","book_chapter"
"CP","O. Seref, O. E. Kundakcioglu, M. Bewernitz","Support vector machines in neuroscience","Encyclopedia of Healthcare Information Systems","","","1283-1293","2008","IDEA Group Inc.","N. Wickramasinghe, E. Geisler","","","book_chapter"
"CP","O. Seref, O. E. Kundakcioglu","Multiple instance classification with relaxed support vector machines","Proceedings of the 3rd INFORMS Workshop on Data Mining and Health Informatics","","","","2008","","J. Li, D. Aleman, R. Sikora","","","conference"
"CP","O. E. Kundakcioglu, P. M. Pardalos","A branch and bound algorithm for multiple instance classification","Proceedings of the 2008 International Conference on Machine Learning; Models, Technologies and Applications (MLMTA)","2","","865-869","2008","","H. R. Arabnia, Y. Mun","","","conference"
"CP","O. Seref, O. E. Kundakcioglu, P. M. Pardalos","Selective linear and nonlinear classification","Data Mining and Mathematical Programming, CRM Proceedings and Lecture Notes, vol. 45","45","","211-234","2008","American Mathematical Society","P. M. Pardalos, P. Hansen","","","in_book"
"CP","O. Seref, C. Cifarelli, O. E. Kundakcioglu, P. M. Pardalos, M. Ding","Detecting categorical discrimination in a visuomotor task using selective support vector machines","Proceedings of the 2007 International Conference on Bioinformatics & Computational Biology (BIOCOMP)","2","","580-587","2007","","H. R. Arabnia, M. Q. Yang, J. Y. Yang","","","conference"
"CP","O. E. Kundakcioglu, K. Bulbul, T. Ünlüyurt, K. Kilic, O. Ercetin","Minimum power multicasting with delay bound constraints in ad hoc wireless networks","New Trends in Computer Networks, ser. Advances in Computer Science and Engineering: Reports","","","252-263","2005","Imperial College Press","","","","conference_book"
"EB","H. Yang, O. E. Kundakcioglu, D. Zeng","Healthcare data analytics","Information Systems and e-Business Management","13","4","595-597","2015","","","","","journal_article"
"EB","H. Yang, O. E. Kundakcioglu","Healthcare intelligence: Turning data into knowledge","IEEE Intelligent Systems, Trends & Controversies","29","3","54-56","2014","","","","","journal_article"
"EB","H. Yang, D. Zeng, O. E. Kundakcioglu","Proceedings of the 7th INFORMS Workshop on Data Mining and Health Informatics","INFORMS Workshop on Data Mining and Health Informatics","","","","2012","","H. Yang, D. Zeng, O. E. Kundakcioglu","","","edited_proceedings"
"EB","O. E. Kundakcioglu, T. Ünlüyurt, G. Ulusoy","Preface","Optimization Letters","6","6","1035-1037","2012","","","","","journal_article"
"EB","O. E. Kundakcioglu, M. Sanguineti, T. B. Trafalis","Guest editorial","Computational Management Science","6","1","1-3","2009","","","","","journal_article"
"EB","O. Seref, O. E. Kundakcioglu, P. M. Pardalos","Data mining, systems analysis, and optimization in biomedicine","AIP Conference Proceedings, no. 953","","953","","2008","American Institute of Physics","O. Seref, O. E. Kundakcioglu, P. M. Pardalos","","","edited_volume"
